Episode No.,Avg Reward,Team Reward,Agent 0 reached goal,Agent 1 reached goal,Goals reached,Agent 0 X,Agent 0 Y,Agent 1 X,Agent 1 Y,Agent 0 Goal X,Agent 0 Goal Y,Agent 1 Goal X,Agent 1 Goal Y
2510,-22.45,-40,1,0,1,9,7,4,6,4,9,5,9
2520,-33,-40,1,0,1,8,9,6,1,4,9,5,9
2530,-192.15,-40,0,0,0,3,8,3,2,4,9,5,9
2540,-172.25,-40,0,0,0,8,1,1,5,4,9,5,9
2550,-182.53,-40,1,0,1,0,0,4,1,4,9,5,9
2560,-88.3,-40,0,0,0,2,2,0,4,4,9,5,9
2570,-23.88,-40,1,0,1,9,0,1,3,4,9,5,9
2580,-54,-40,1,0,1,5,5,8,1,4,9,5,9
2590,-106.58,-40,1,0,1,2,5,0,6,4,9,5,9
2600,-199.12,-40,1,0,1,6,7,1,2,4,9,5,9
2610,-219.45,-40,0,0,0,8,2,1,5,4,9,5,9
2620,-70.2,-40,0,0,0,6,3,8,9,4,9,5,9
2630,-370.3,-40,0,0,0,1,5,8,0,4,9,5,9
2640,-372.1,-40,0,0,0,7,5,8,0,4,9,5,9
2650,-42,-40,1,0,1,4,5,4,8,4,9,5,9
2660,-153.95,-40,0,0,0,1,7,2,6,4,9,5,9
2670,-119.17,-40,0,0,0,1,1,5,4,4,9,5,9
1890,-32.98,17.9,1,1,2,1,3,9,6,4,9,5,9
2690,-20.8,-40,1,0,1,6,6,9,2,4,9,5,9
2700,-43.45,-40,0,0,0,7,9,2,7,4,9,5,9
2710,-207.5,-40,1,0,1,3,3,8,2,4,9,5,9
2720,-202.3,-40,1,0,1,6,6,1,6,4,9,5,9
2730,-197.18,-40,1,0,1,0,7,7,6,4,9,5,9
2740,-220.38,-40,0,0,0,7,2,9,3,4,9,5,9
2750,-28.93,-40,1,0,1,2,6,9,4,4,9,5,9
2760,-94.17,-40,1,0,1,6,1,3,1,4,9,5,9
2770,-20.2,-40,1,0,1,9,3,0,2,4,9,5,9
2780,-45.58,-40,0,0,0,0,9,3,9,4,9,5,9
2790,-195.4,-40,1,0,1,6,6,2,5,4,9,5,9
2800,-26.73,-40,1,0,1,3,0,3,3,4,9,5,9
2810,-258.25,-40,0,0,0,7,8,8,0,4,9,5,9
2820,-117.7,-40,0,0,0,3,4,9,1,4,9,5,9
2830,-17.43,-40,1,0,1,3,5,3,2,4,9,5,9
2840,-51.67,-40,1,0,1,1,6,0,0,4,9,5,9
2850,-261.27,-40,1,0,1,2,0,7,0,4,9,5,9
2860,-23.23,-40,1,0,1,6,5,9,8,4,9,5,9
2870,-76.62,-40,0,0,0,1,7,5,6,4,9,5,9
2880,-39.4,-40,1,0,1,9,7,9,3,4,9,5,9
2890,-15.25,-40,1,0,1,5,8,8,8,4,9,5,9
2900,-35.03,-40,1,0,1,4,3,5,8,4,9,5,9
2910,-73.08,-40,1,0,1,2,5,3,0,4,9,5,9
2920,-23.45,-40,1,0,1,4,6,6,0,4,9,5,9
2930,-212.88,-40,1,0,1,7,8,4,1,4,9,5,9
2940,-173.35,-40,0,0,0,8,0,0,1,4,9,5,9
2950,-33.73,-40,1,0,1,9,3,1,3,4,9,5,9
2960,-21.3,-40,1,0,1,3,3,9,4,4,9,5,9
2970,-203.15,-40,0,0,0,6,5,0,4,4,9,5,9
2980,-103.65,-40,0,0,0,6,1,1,8,4,9,5,9
2990,-199.23,-40,0,0,0,8,2,4,7,4,9,5,9
3000,-51.95,-40,0,1,1,9,2,3,8,4,9,5,9
3010,-15.08,-40,1,0,1,1,8,9,6,4,9,5,9
